scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
plain,8,44,1,100.0,0.0,0.0,0,476,17928.7421875,0,280,136,0,0,0,0,0
plain,8,44,2,100.0,0.0,0.0,0,448,16892.67578125,2,280,126,2,0,0,0,0
plain,8,44,3,100.0,0.0,0.0,0,448,16865.203125,0,280,128,0,0,0,0,0
plain,8,44,4,100.0,0.0,0.0,0,336,12986.5048828125,0,280,96,0,0,0,0,0
plain,8,44,5,100.0,0.0,0.0,0,728,26456.091796875,11,280,197,10,1,0,1,0
plain,8,44,6,100.0,0.0,0.0,0,756,27865.78125,4,280,212,2,2,0,1,0
plain,8,44,7,100.0,0.0,0.0,0,644,23581.7578125,0,280,184,0,0,0,0,0
plain,8,44,8,100.0,0.0,0.0,0,840,31009.1171875,6,280,234,6,0,0,0,0
plain,8,44,9,100.0,0.0,0.0,0,532,19986.09765625,0,280,152,0,0,0,0,0
plain,8,44,10,100.0,0.0,0.0,0,336,12821.876953125,0,280,96,0,0,0,0,0
plain,8,44,11,100.0,0.0,0.0,0,364,13763.552734375,0,280,104,0,0,0,0,0
plain,8,45,0,100.0,0.0,0.0,0,448,16872.2890625,0,280,128,0,0,0,0,0
plain,8,45,1,100.0,0.0,0.0,0,532,19807.873046875,0,280,152,0,0,0,0,0
plain,8,45,2,100.0,0.0,0.0,0,532,19810.65234375,0,280,152,0,0,0,0,0
plain,8,45,3,100.0,0.0,0.0,0,476,17937.890625,0,280,136,0,0,0,0,0
plain,8,45,4,100.0,0.0,0.0,0,896,32932.9921875,0,280,256,0,0,0,0,0
plain,8,45,5,100.0,0.0,0.0,0,560,20828.60546875,0,280,160,0,0,0,0,0
plain,8,45,6,100.0,0.0,0.0,0,448,16782.962890625,0,280,128,0,0,0,0,0
plain,8,45,7,100.0,0.0,0.0,0,392,14737.20703125,0,280,112,0,0,0,0,0
plain,8,45,8,100.0,0.0,0.0,0,364,13891.671875,0,280,104,0,0,0,0,0
plain,8,45,9,100.0,0.0,0.0,0,392,14863.01171875,0,280,112,0,0,0,0,0
plain,8,45,10,100.0,0.0,0.0,0,448,16871.06640625,0,280,128,0,0,0,0,0
plain,8,45,11,100.0,0.0,0.0,0,728,26953.064453125,0,280,208,0,0,0,0,0
plain,8,46,0,100.0,0.0,0.0,0,364,13753.181640625,0,280,104,0,0,0,0,0
plain,8,46,1,100.0,0.0,0.0,0,644,23678.63671875,0,280,184,0,0,0,0,0
plain,8,46,2,100.0,0.0,0.0,0,728,27087.896484375,0,280,208,0,0,0,0,0
plain,8,46,3,100.0,0.0,0.0,0,280,10801.5869140625,0,280,80,0,0,0,0,0
plain,8,46,4,100.0,0.0,0.0,0,448,16746.853515625,0,280,128,0,0,0,0,0
plain,8,46,5,100.0,0.0,0.0,0,532,19960.55078125,0,280,152,0,0,0,0,0
plain,8,46,6,100.0,0.0,0.0,0,420,15791.89453125,0,280,120,0,0,0,0,0
plain,8,46,7,100.0,0.0,0.0,0,672,24987.9453125,0,280,192,0,0,0,0,0
plain,8,46,8,100.0,0.0,0.0,0,252,9631.5244140625,0,280,72,0,0,0,0,0
plain,8,46,9,100.0,0.0,0.0,0,504,18865.5390625,0,280,144,0,0,0,0,0
plain,8,46,10,100.0,0.0,0.0,0,364,13791.3203125,0,280,104,0,0,0,0,0
plain,8,46,11,100.0,0.0,0.0,0,728,27051.16796875,0,280,208,0,0,0,0,0
urban,4,42,0,95.55555555555556,0.0,0.0,0,210,18378.359375,4,140,136,4,0,0,0,0
urban,4,42,1,95.55555555555556,0.0,0.0,0,210,18422.462890625,0,140,140,0,0,0,0,0
urban,4,42,2,100.0,0.0,0.0,0,192,16662.794921875,0,140,128,0,0,0,0,0
urban,4,42,3,90.0,0.0,0.0,0,210,18274.365234375,0,140,140,0,0,0,0,0
urban,4,42,4,91.42857142857143,0.0,0.0,0,210,18489.82421875,0,140,140,0,0,0,0,0
urban,4,42,5,100.0,0.0,0.0,0,204,17774.080078125,0,140,136,0,0,0,0,0
urban,4,42,6,100.0,0.0,0.0,0,150,12982.1708984375,0,140,100,0,0,0,0,0
urban,4,42,7,93.33333333333333,0.0,0.0,0,210,18171.90234375,0,140,140,0,0,0,0,0
urban,4,42,8,95.55555555555556,0.0,0.0,0,210,17939.865234375,0,140,140,0,0,0,0,0
urban,4,42,9,100.0,0.0,0.0,0,204,17460.046875,0,140,136,0,0,0,0,0
urban,4,42,10,100.0,0.0,0.0,0,180,15575.7939453125,0,140,120,0,0,0,0,0
urban,4,42,11,97.77777777777777,0.0,0.0,0,210,18217.84375,0,140,140,0,0,0,0,0
urban,4,43,0,98.33333333333333,0.0,0.0,0,210,17997.4296875,0,140,140,0,0,0,0,0
urban,4,43,1,86.66666666666667,0.0,0.0,0,210,18463.19140625,0,140,140,0,0,0,0,0
